Date,Holiday,Type
2023-01-01,New Year's Day,Federal Holiday
2023-01-02,New Year's Day (Observed),Federal Holiday
2023-01-16,"Birthday of Martin Luther King, Jr.",Federal Holiday
2023-02-12,Lincoln's Birthday,New York State Holiday
2023-02-20,Washington's Birthday,Federal Holiday
2023-05-29,Memorial Day,Federal Holiday
2023-06-19,Juneteenth National Independence Day,Federal Holiday
2023-07-04,Independence Day,Federal Holiday
2023-09-04,Labor Day,Federal Holiday
2023-10-09,Columbus Day / Indigenous Peoples' Day,Federal Holiday
2023-11-07,Election Day,New York State Holiday
2023-11-10,Veterans Day (Observed),Federal Holiday
2023-11-11,Veterans Day,Federal Holiday
2023-11-23,Thanksgiving Day,Federal Holiday
2023-12-25,Christmas Day,Federal Holiday
